,latitude,longitude
1,43.586667,144.301667
2,35.803333,141.095
3,36.543333,141.501667
4,33.945,132.496667
5,33.548333,133.733333
6,36.046667,140.098333
7,35.248333,135.31
8,36.593333,139.393333
9,34.168333,141.646667
10,44.593333,144.881667
11,35.18,136.518333
12,39.103333,140.84
13,37.796667,139.98
14,37.085,142.068333
15,34.021667,135.225
16,34.135,136.72
17,36.628333,141.961667
18,28.345,129.368333
19,34.26,135.235
20,36.698333,141.756667
21,32.726667,130.766667
22,38.253333,140.615
23,39.016667,140.896667
24,40.378333,141.916667
25,34.19,135.118333
26,36.683333,142.25
27,34.233333,135.24
28,31.975,130.52
29,32.653333,132.625
30,33.673333,134.226667
